Subject ID,Subject Age,Subject Gender,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Block,Control Type,Ratio of number of dots,Percentage of dots,Ratio of areas of dot sets (greater to smaller),Color One,Color Two,Response Time,Date/Time,Consecutive Rounds,Key for "Yes" 
384,3,MALE,11,14,NO,NO,yes,2,Inverse Areas,1.2727272727272727,0.44,1.4302677689751646,Blue,Yellow,0.174923432,2015-10-12T14:26:19.343,1,F
384,3,MALE,18,7,YES,NO,no,2,Inverse Areas,2.5714285714285716,0.72,5.4255872805648995,Blue,Yellow,0.266485948,2015-10-12T14:26:19.936,2,F
384,3,MALE,12,13,NO,NO,yes,2,Equal Areas,1.0833333333333333,0.48,1.0000000000000002,Blue,Yellow,0.242348979,2015-10-12T14:26:20.413,3,F
384,3,MALE,26,14,YES,NO,no,2,Equal Areas,1.8571428571428572,0.65,1.0000000000000004,Blue,Yellow,0.189929124,2015-10-12T14:26:20.875,4,F
384,3,MALE,19,6,YES,NO,no,2,Equal Areas,3.1666666666666665,0.76,1.0000000000000002,Blue,Yellow,0.183021973,2015-10-12T14:26:21.268,5,F
384,3,MALE,12,9,NO,NO,yes,2,Inverse Areas,1.3333333333333333,0.5714285714285714,1.8542783735152562,Blue,Yellow,0.181530384,2015-10-12T14:26:21.638,6,F
384,3,MALE,13,12,NO,NO,yes,2,Inverse Areas,1.0833333333333333,0.52,1.3207486204505912,Blue,Yellow,0.159638923,2015-10-12T14:26:22.216,7,F
384,3,MALE,30,18,YES,NO,no,2,Inverse Areas,1.6666666666666667,0.625,1.9830191550965992,Blue,Yellow,0.192065586,2015-10-12T14:26:22.552,8,F
384,3,MALE,18,7,YES,NO,no,2,Equal Areas,2.5714285714285716,0.72,1.0000000000000002,Blue,Yellow,0.126878705,2015-10-12T14:26:22.870,9,F
384,3,MALE,13,12,NO,NO,yes,2,Inverse Areas,1.0833333333333333,0.52,1.3199947573447617,Blue,Yellow,0.152236571,2015-10-12T14:26:23.156,10,F
384,3,MALE,12,13,NO,NO,yes,2,Inverse Areas,1.0833333333333333,0.48,1.7545314203508813,Blue,Yellow,0.176000216,2015-10-12T14:26:23.695,11,F
384,3,MALE,28,21,NO,NO,yes,2,Equal Areas,1.3333333333333333,0.5714285714285714,1.0000000000000002,Blue,Yellow,0.202361739,2015-10-12T14:26:24.027,12,F
384,3,MALE,19,6,YES,NO,no,2,Equal Areas,3.1666666666666665,0.76,1.0000000000000002,Blue,Yellow,0.15572393,2015-10-12T14:26:24.572,13,F
384,3,MALE,11,14,NO,NO,yes,2,Equal Areas,1.2727272727272727,0.44,1.0,Blue,Yellow,0.195365641,2015-10-12T14:26:25.132,14,F
384,3,MALE,13,7,YES,NO,no,2,Inverse Areas,1.8571428571428572,0.65,5.763710230182867,Blue,Yellow,0.135708928,2015-10-12T14:26:25.632,15,F
384,3,MALE,13,12,NO,NO,yes,2,Inverse Areas,1.0833333333333333,0.52,1.3443635194771844,Blue,Yellow,0.172496179,2015-10-12T14:26:26.165,16,F
384,3,MALE,18,7,YES,NO,no,2,Equal Areas,2.5714285714285716,0.72,1.0000000000000002,Blue,Yellow,0.351792173,2015-10-12T14:26:28.306,17,F
384,3,MALE,26,14,YES,NO,no,2,Equal Areas,1.8571428571428572,0.65,1.0,Blue,Yellow,0.192571477,2015-10-12T14:26:28.728,18,F
384,3,MALE,19,6,YES,NO,no,2,Inverse Areas,3.1666666666666665,0.76,12.72673076972979,Blue,Yellow,0.187456114,2015-10-12T14:26:29.096,19,F
384,3,MALE,11,14,NO,NO,yes,2,Equal Areas,1.2727272727272727,0.44,1.0000000000000002,Blue,Yellow,0.398759261,2015-10-12T14:26:29.709,20,F
384,3,MALE,12,13,NO,NO,yes,1,Equal Areas,1.0833333333333333,0.48,1.0,Green,Red,0.417115469,2015-10-12T14:26:33.841,21,F
384,3,MALE,16,9,YES,NO,no,1,Inverse Areas,1.7777777777777777,0.64,5.43730184836913,Green,Red,0.308820046,2015-10-12T14:26:34.355,22,F
384,3,MALE,16,24,NO,NO,yes,1,Equal Areas,1.5,0.4,1.0,Green,Red,0.225685349,2015-10-12T14:26:34.779,23,F
384,3,MALE,14,11,YES,NO,no,1,Equal Areas,1.2727272727272727,0.56,1.0000000000000002,Green,Red,0.152109136,2015-10-12T14:26:35.126,24,F
384,3,MALE,11,14,NO,NO,yes,1,Equal Areas,1.2727272727272727,0.44,1.0,Green,Red,0.146548605,2015-10-12T14:26:35.423,25,F
384,3,MALE,13,12,YES,NO,no,1,Inverse Areas,1.0833333333333333,0.52,1.5112910152273737,Green,Red,0.176955978,2015-10-12T14:26:35.983,26,F
384,3,MALE,9,16,NO,NO,yes,1,Inverse Areas,1.7777777777777777,0.36,2.148960569867381,Green,Red,0.094973757,2015-10-12T14:26:36.465,27,F
384,3,MALE,33,22,YES,NO,no,1,Inverse Areas,1.5,0.6,2.1540575019693047,Green,Red,0.09257045,2015-10-12T14:26:36.725,28,F
384,3,MALE,14,11,YES,NO,no,1,Equal Areas,1.2727272727272727,0.56,1.0000000000000002,Green,Red,0.092768445,2015-10-12T14:26:36.964,29,F
384,3,MALE,13,12,YES,NO,no,1,Equal Areas,1.0833333333333333,0.52,1.0000000000000002,Green,Red,0.086421068,2015-10-12T14:26:37.210,30,F
384,3,MALE,22,33,NO,NO,yes,1,Equal Areas,1.5,0.4,1.0000000000000002,Green,Red,0.045371584,2015-10-12T14:26:37.611,31,F
384,3,MALE,16,9,YES,NO,no,1,Inverse Areas,1.7777777777777777,0.64,3.8255252846892858,Green,Red,0.055477441,2015-10-12T14:26:37.837,32,F
384,3,MALE,12,13,NO,NO,yes,1,Equal Areas,1.0833333333333333,0.48,1.0000000000000002,Green,Red,0.05500576,2015-10-12T14:26:38.069,33,F
384,3,MALE,9,16,NO,NO,yes,1,Equal Areas,1.7777777777777777,0.36,1.0,Green,Red,0.067683838,2015-10-12T14:26:38.509,34,F
384,3,MALE,11,14,NO,NO,yes,1,Inverse Areas,1.2727272727272727,0.44,1.3639535913723793,Green,Red,0.08742558,2015-10-12T14:26:38.764,35,F
384,3,MALE,24,16,YES,NO,no,1,Equal Areas,1.5,0.6,1.0000000000000002,Green,Red,0.14213499,2015-10-12T14:26:39.112,36,F
384,3,MALE,16,9,YES,NO,no,1,Equal Areas,1.7777777777777777,0.64,1.0,Green,Red,0.058775357,2015-10-12T14:26:39.529,37,F
384,3,MALE,12,13,NO,NO,yes,1,Inverse Areas,1.0833333333333333,0.48,1.0807790330547762,Green,Red,0.288497147,2015-10-12T14:26:40.286,38,F
384,3,MALE,15,10,YES,NO,no,1,Equal Areas,1.5,0.6,1.0,Green,Red,0.137529368,2015-10-12T14:26:40.730,39,F
384,3,MALE,20,30,NO,NO,yes,1,Inverse Areas,1.5,0.4,2.4866658170040083,Green,Red,0.105037277,2015-10-12T14:26:41.151,40,F
384,3,MALE,9,16,NO,NO,yes,0,Equal Areas,1.7777777777777777,0.36,1.0000000000000002,Cyan,Brown,0.319834198,2015-10-12T14:26:45.371,41,F
384,3,MALE,14,21,NO,NO,yes,0,Inverse Areas,1.5,0.4,2.528399664131186,Cyan,Brown,0.125015929,2015-10-12T14:26:45.641,42,F
384,3,MALE,12,13,NO,NO,yes,0,Equal Areas,1.0833333333333333,0.48,1.0000000000000002,Cyan,Brown,0.093320094,2015-10-12T14:26:45.900,43,F
384,3,MALE,16,9,YES,NO,no,0,Equal Areas,1.7777777777777777,0.64,1.0,Cyan,Brown,0.170770674,2015-10-12T14:26:46.325,44,F
384,3,MALE,14,11,YES,NO,no,0,Equal Areas,1.2727272727272727,0.56,1.0000000000000002,Cyan,Brown,0.161464494,2015-10-12T14:26:46.661,45,F
384,3,MALE,13,12,YES,NO,no,0,Inverse Areas,1.0833333333333333,0.52,1.071969408183273,Cyan,Brown,0.156625811,2015-10-12T14:26:47.281,46,F
384,3,MALE,15,10,YES,NO,no,0,Inverse Areas,1.5,0.6,2.798718208937833,Cyan,Brown,0.137757725,2015-10-12T14:26:47.590,47,F
384,3,MALE,11,14,NO,NO,yes,0,Equal Areas,1.2727272727272727,0.44,1.0000000000000002,Cyan,Brown,0.121579459,2015-10-12T14:26:47.883,48,F
384,3,MALE,16,9,YES,NO,no,0,Inverse Areas,1.7777777777777777,0.64,2.9931485853873556,Cyan,Brown,0.132270747,2015-10-12T14:26:48.168,49,F
384,3,MALE,9,16,NO,NO,yes,0,Equal Areas,1.7777777777777777,0.36,1.0,Cyan,Brown,0.157345947,2015-10-12T14:26:48.723,50,F
384,3,MALE,11,14,NO,NO,yes,0,Inverse Areas,1.2727272727272727,0.44,1.6144517836387804,Cyan,Brown,0.180952222,2015-10-12T14:26:49.047,51,F
384,3,MALE,13,12,YES,NO,no,0,Equal Areas,1.0833333333333333,0.52,1.0000000000000002,Cyan,Brown,0.138457763,2015-10-12T14:26:49.297,52,F
384,3,MALE,12,13,NO,NO,yes,0,Equal Areas,1.0833333333333333,0.48,1.0000000000000002,Cyan,Brown,0.103230949,2015-10-12T14:26:49.548,53,F
384,3,MALE,24,16,YES,NO,no,0,Equal Areas,1.5,0.6,1.0000000000000004,Cyan,Brown,0.105242969,2015-10-12T14:26:49.812,54,F
384,3,MALE,18,27,NO,NO,yes,0,Inverse Areas,1.5,0.4,1.8196330147294173,Cyan,Brown,0.107000119,2015-10-12T14:26:50.092,55,F
384,3,MALE,14,11,YES,NO,no,0,Equal Areas,1.2727272727272727,0.56,1.0,Cyan,Brown,0.107819894,2015-10-12T14:26:50.375,56,F
384,3,MALE,14,11,YES,NO,no,0,Inverse Areas,1.2727272727272727,0.56,1.3668950204081634,Cyan,Brown,0.123537597,2015-10-12T14:26:50.646,57,F
384,3,MALE,12,13,NO,NO,yes,0,Inverse Areas,1.0833333333333333,0.48,1.2539333767361103,Cyan,Brown,0.081451528,2015-10-12T14:26:50.928,58,F
384,3,MALE,13,12,YES,NO,no,0,Equal Areas,1.0833333333333333,0.52,1.0000000000000002,Cyan,Brown,0.109997837,2015-10-12T14:26:51.213,59,F
384,3,MALE,9,16,NO,NO,yes,0,Inverse Areas,1.7777777777777777,0.36,2.8148547479512067,Cyan,Brown,0.106203864,2015-10-12T14:26:51.471,60,F
384,3,MALE,12,8,NO,NO,yes,3,Inverse Areas,1.5,0.6,1.9462255185121158,Purple,Orange,5.415336082,2015-10-12T14:27:00.658,61,F
384,3,MALE,21,4,YES,NO,no,3,Inverse Areas,5.25,0.84,32.8081237314231,Purple,Orange,0.181465811,2015-10-12T14:27:01.080,62,F
384,3,MALE,14,12,NO,NO,yes,3,Equal Areas,1.1666666666666667,0.5384615384615384,1.0,Purple,Orange,0.17159387,2015-10-12T14:27:01.494,63,F
384,3,MALE,18,5,YES,NO,no,3,Inverse Areas,3.6,0.782608695652174,19.514997792339305,Purple,Orange,0.147603152,2015-10-12T14:27:01.850,64,F
384,3,MALE,36,4,YES,NO,no,3,Inverse Areas,9.0,0.9,76.34357478222627,Purple,Orange,0.118623223,2015-10-12T14:27:02.124,65,F
384,3,MALE,24,1,YES,NO,no,3,Inverse Areas,24.0,0.96,581.1782527970681,Purple,Orange,0.128686316,2015-10-12T14:27:02.404,66,F
384,3,MALE,18,7,NO,NO,yes,3,Equal Areas,2.5714285714285716,0.72,1.0000000000000004,Purple,Orange,0.133802533,2015-10-12T14:27:02.684,67,F
384,3,MALE,26,13,NO,NO,yes,3,Equal Areas,2.0,0.6666666666666666,1.0000000000000002,Purple,Orange,0.122426175,2015-10-12T14:27:02.958,68,F
384,3,MALE,18,2,YES,NO,no,3,Equal Areas,9.0,0.9,1.0,Purple,Orange,0.118191739,2015-10-12T14:27:03.234,69,F
384,3,MALE,18,9,NO,NO,yes,3,Inverse Areas,2.0,0.6666666666666666,3.3844526306953524,Purple,Orange,0.098172461,2015-10-12T14:27:03.481,70,F
384,3,MALE,18,5,YES,NO,no,3,Equal Areas,3.6,0.782608695652174,1.0000000000000002,Purple,Orange,0.112460156,2015-10-12T14:27:03.739,71,F
384,3,MALE,24,1,YES,NO,no,3,Inverse Areas,24.0,0.96,1228.0177292383319,Purple,Orange,0.077670812,2015-10-12T14:27:03.961,72,F
384,3,MALE,14,12,NO,NO,yes,3,Inverse Areas,1.1666666666666667,0.5384615384615384,1.1860431618325447,Purple,Orange,0.076630378,2015-10-12T14:27:04.211,73,F
384,3,MALE,18,7,NO,NO,yes,3,Inverse Areas,2.5714285714285716,0.72,8.787862950366671,Purple,Orange,0.063012359,2015-10-12T14:27:04.436,74,F
384,3,MALE,18,12,NO,NO,yes,3,Equal Areas,1.5,0.6,1.0,Purple,Orange,0.044091675,2015-10-12T14:27:04.654,75,F
384,3,MALE,21,4,YES,NO,no,3,Equal Areas,5.25,0.84,1.0,Purple,Orange,0.028937593,2015-10-12T14:27:05.132,76,F
384,3,MALE,14,12,NO,NO,yes,3,Inverse Areas,1.1666666666666667,0.5384615384615384,1.8318761903170842,Purple,Orange,0.11615064,2015-10-12T14:27:05.484,77,F
384,3,MALE,21,4,YES,NO,no,3,Equal Areas,5.25,0.84,1.0,Purple,Orange,0.108951414,2015-10-12T14:27:05.758,78,F
384,3,MALE,27,3,YES,NO,no,3,Inverse Areas,9.0,0.9,91.33773274118555,Purple,Orange,0.086947913,2015-10-12T14:27:06.204,79,F
384,3,MALE,18,5,YES,NO,no,3,Equal Areas,3.6,0.782608695652174,1.0,Purple,Orange,0.092802656,2015-10-12T14:27:06.706,81,F
