Subject ID,Subject Age,Subject Gender,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Difficulty,Distance,Control Type,Ratio of number of dots (greater to smaller),Ratio of areas of dot sets (greater to smaller),Response Time,Date/Time,Consecutive Rounds
423,423,MALE,24,21,left,right,no,HARD,3,Equal Areas,1.1428571428571428,1.0000000000000002,0.339524051,2015-09-01T11:37:32.404,1
423,423,MALE,12,1,left,left,yes,MEDIUM,11,Equal Areas,12.0,1.0000000000000004,0.356160306,2015-09-01T11:37:34.443,2
423,423,MALE,16,12,left,left,yes,HARD,4,Inverse Areas,1.3333333333333333,1.5668231046424883,0.302771882,2015-09-01T11:37:36.433,3
423,423,MALE,9,25,right,right,yes,EASY,16,Equal Areas,2.7777777777777777,1.0000000000000002,0.933537087,2015-09-01T11:37:37.932,4
423,423,MALE,11,1,left,left,yes,MEDIUM,10,Inverse Areas,11.0,784.2913902336817,0.461126551,2015-09-01T11:37:39.605,5
423,423,MALE,17,22,right,right,yes,HARD,5,Inverse Areas,1.2941176470588236,1.5911972019969627,0.315984497,2015-09-01T11:37:41.535,6
423,423,MALE,17,6,left,left,yes,MEDIUM,11,Equal Areas,2.8333333333333335,1.0000000000000002,0.443957036,2015-09-01T11:37:43.742,7
423,423,MALE,2,18,right,right,yes,EASY,16,Equal Areas,9.0,1.0,0.297655666,2015-09-01T11:37:45.594,8
423,423,MALE,17,15,left,left,yes,HARD,2,Equal Areas,1.1333333333333333,1.0000000000000002,0.281503066,2015-09-01T11:37:47.639,9
423,423,MALE,8,25,right,right,yes,EASY,17,Inverse Areas,3.125,9.484543228567954,0.393145108,2015-09-01T11:37:49.809,10
423,423,MALE,14,3,left,left,yes,MEDIUM,11,Equal Areas,4.666666666666667,1.0000000000000004,1.506956113,2015-09-01T11:37:52.967,11
423,423,MALE,6,1,left,left,yes,HARD,5,Inverse Areas,6.0,65.66063476562498,0.412863751,2015-09-01T11:37:55.218,12
423,423,MALE,5,14,right,left,no,MEDIUM,9,Inverse Areas,2.8,12.331794665821002,0.18914861,2015-09-01T11:37:57.076,13
423,423,MALE,8,23,right,left,no,EASY,15,Inverse Areas,2.875,6.5103660745387,0.006520567,2015-09-01T11:37:59.013,14
423,423,MALE,2,4,right,right,yes,HARD,2,Equal Areas,2.0,1.0000000000000002,0.330824689,2015-09-01T11:38:01.404,15
423,423,MALE,18,4,left,left,yes,EASY,14,Inverse Areas,4.5,22.028972144914608,3.4168E-4,2015-09-01T11:38:03.156,16
423,423,MALE,25,8,left,left,yes,EASY,17,Inverse Areas,3.125,9.358568895053482,0.691387917,2015-09-01T11:38:05.402,17
423,423,MALE,18,8,left,left,yes,MEDIUM,10,Inverse Areas,2.25,4.7816677574205455,0.321722493,2015-09-01T11:38:07.412,18
423,423,MALE,12,21,right,right,yes,MEDIUM,9,Equal Areas,1.75,1.0000000000000002,0.474566239,2015-09-01T11:38:09.328,19
423,423,MALE,20,18,left,left,yes,HARD,2,Inverse Areas,1.1111111111111112,1.2166826868476952,0.216793026,2015-09-01T11:38:11.155,20
423,43,MALE,16,8,left,left,yes,MEDIUM,8,Inverse Areas,2.0,4.320622040112432,0.241788246,2015-09-01T20:09:25.022,1
423,43,MALE,6,14,right,left,no,MEDIUM,8,Equal Areas,2.3333333333333335,1.0,1.063463914,2015-09-01T20:09:27.798,2
423,43,MALE,20,15,left,left,yes,HARD,5,Equal Areas,1.3333333333333333,1.0,1.358176174,2015-09-01T20:09:30.325,3
423,543,MALE,20,6,left,left,yes,EASY,14,Equal Areas,3.3333333333333335,1.0000000000000002,0.85412883,2015-09-01T20:13:41.348,1
423,543,MALE,13,17,right,left,no,HARD,4,Equal Areas,1.3076923076923077,1.0000000000000002,0.224220605,2015-09-01T20:13:42.715,2
423,543,MALE,16,11,left,left,yes,HARD,5,Inverse Areas,1.4545454545454546,2.413345927277487,0.098695416,2015-09-01T20:13:44.566,3
